OBJECTID,GB_KEY,GSI_KEY,PROJECT NAME,DEPARTMENT,PURPOSE,FUNDER,INSTALL YEAR,SEWER CLASSIFICATION CODE,CSO BASIN KEY,CSO BASIN NAME,CREEK WATERSHED KEY,CREEK WATERSHED NAME,SOURCE TYPE,SOURCE ID,BEST MANAGED PRACTICE,NUMBER OF BMPS,INFILTRATION SQ FT,IMPERVIOUS MANAGED SQ FT,AVG ANNUAL RUNOFF VOL MANAGED CB FT,AVG ANNUAL RUNOFF VOL MANAGED GLN,GlobalID,x,y
394098,3851,1646,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,3812400335,CST,,,2739,2588,19361,d2e1472f-cab2-4481-9f20-a28dd02fae59,1283891.06009549,201801.400002688
394099,3852,1647,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,3420100020,CST,,,456,431,3223,e262e7f7-d5dd-4cf7-bf7d-341ab4b9ebf0,1284109.72006372,195116.249979839
394100,3853,1648,RAINWISE,SPU,RW,SPU,2020,P,,Fremont,,,PIN,6610000836,CST,,,684,646,4831,751795ea-cbf1-4344-a136-0cad22b21278,1265093.03012423,244612.883950531
394101,3854,1649,RAINWISE,SPU,RW,SPU,2020,C,,Ballard,,,PIN,1254200345,CST,,,1123,1061,7935,effc5357-423c-44b9-88f4-2d7be57d10d2,1257242.8368362,251845.873077929
394102,3855,1650,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,3812400550,RGN,,,895,1842,13777,e0d98b7b-b8a8-4151-be97-a0a87339602e,1283885.50003149,200955.797057822
394103,3856,1651,RAINWISE,SPU,RW,SPU,2020,C,,Delridge,,,PIN,9352900810,RGN,,,1340,2758,20628,84a97835-2b71-40dd-b664-752b0f36a007,1263640.36010675,192746.509945422
394104,3857,1652,RAINWISE,SPU,RW,SPU,2020,P,,North Union Bay,,,PIN,7974200514,CST,,,877,829,6200,c4547ff8-d221-44cc-823b-12cadda6d714,1281832.04287738,251541.878901616
394105,3858,1653,RAINWISE,SPU,RW,SPU,2020,C,,Ballard,,,PIN,7588700286,CST,,,752,711,5316,4fad0d18-b630-4957-b8d2-0f261f7ed411,1259846.09603886,255492.351033673
394106,3859,1654,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,0561000415,CST,,,1255,1186,8871,c44a1d52-4519-4ff8-8b89-9b12d45730a4,1288457.25997217,187651.639924198
394107,3860,1655,RAINWISE,SPU,RW,SPU,2020,C,,Ballard,,,PIN,4443800940,RGN,,,1186,2441,18257,8dd4d352-a438-44b8-8ddc-b256bdee7cb1,1256742.44707569,254494.748024642
394108,3861,1656,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,2724049192,CST,,,807,763,5704,e9c58c11-1fe3-4a1e-8777-070da38b7191,1283169.99001475,200170.839937016
394109,3862,1657,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,2724049044,CST,,,1200,1134,8482,b2c8233c-5239-4bd4-8f5c-ae195e4c6999,1283181.73011076,200082.630144924
394110,3863,1658,RAINWISE,SPU,RW,SPU,2020,C,,Ballard,,,PIN,1254200135,CST,,,782,739,5528,7476e18b-b544-4844-b042-43d7f15fc041,1257362.52784432,251841.567989931
394111,3864,1659,RAINWISE,SPU,RW,SPU,2020,P,,North Union Bay,,,PIN,8819900685,CST,,,1024,968,7238,048947f7-84b0-46f0-84b9-18e3254a5356,1282369.50310193,247962.312945962
394112,3865,1660,RAINWISE,SPU,RW,SPU,2020,P,,Queen Anne,,,PIN,2771601950,CST,,,950,898,6715,9b566664-f71c-45d5-aa46-a04b17b0b0c0,1261146.8450962,236344.801062062
